description_string,description_list
"as joe would say, it's a bfd. ourplan is delivering relief now and easing the burden of student loan debt for years to come.","['as', 'joe', 'would', 'say', 'its', 'a', 'bfd', 'ourplan', 'is', 'delivering', 'relief', 'now', 'and', 'easing', 'the', 'burden', 'of', 'student', 'loan', 'debt', 'for', 'years', 'to', 'come']"
it's the 21st century. it shouldn't take two weeks sifting through paper records to trace a gun used in a crime. i've got a bill to fix this.,"['its', 'the', 'st', 'century', 'it', 'shouldnt', 'take', 'two', 'weeks', 'sifting', 'through', 'paper', 'records', 'to', 'trace', 'a', 'gun', 'used', 'in', 'a', 'crime', 'ive', 'got', 'a', 'bill', 'to', 'fix', 'this']"
we've been busy. what do you want us to tackle next when congress comes back from recess? let me know 👇,"['weve', 'been', 'busy', 'what', 'do', 'you', 'want', 'us', 'to', 'tackle', 'next', 'when', 'congress', 'comes', 'back', 'from', 'recess', 'let', 'me', 'know']"
"president biden signed theinto law today, finally guaranteeing health care to veterans exposed to toxic burn pits. ","['president', 'biden', 'signed', 'theinto', 'law', 'today', 'finally', 'guaranteeing', 'health', 'care', 'to', 'veterans', 'exposed', 'to', 'toxic', 'burn', 'pits']"
kansans stood up to the supreme court. now we all need to organize and vote in november to defend our reproductive freedom.,"['kansans', 'stood', 'up', 'to', 'the', 'supreme', 'court', 'now', 'we', 'all', 'need', 'to', 'organize', 'and', 'vote', 'in', 'november', 'to', 'defend', 'our', 'reproductive', 'freedom']"
this week republicans blocked the. it's time to stop playing politics with veterans' lives.,"['this', 'week', 'republicans', 'blocked', 'the', 'its', 'time', 'to', 'stop', 'playing', 'politics', 'with', 'veterans', 'lives']"
"i was supposed to fly from new york to dc for votes tonight. instead, my flight was rerouted through indianapolis. now i'm delayed and stuck in the airport. if you've tried to fly this summer, you've probably been through something similar — or even worse. tell me your airport horror stories.","['i', 'was', 'supposed', 'to', 'fly', 'from', 'new', 'york', 'to', 'dc', 'for', 'votes', 'tonight', 'instead', 'my', 'flight', 'was', 'rerouted', 'through', 'indianapolis', 'now', 'im', 'delayed', 'and', 'stuck', 'in', 'the', 'airport', 'if', 'youve', 'tried', 'to', 'fly', 'this', 'summer', 'youve', 'probably', 'been', 'through', 'something', 'similar', 'or', 'even', 'worse', 'tell', 'me', 'your', 'airport', 'horror', 'stories']"
"when the supreme court overturned, they said we don't have a right to privacy. i talked on the hysteria podcast about what that means for our right to contraception, infertility treatments, lgbtq+ rights, and so much more.","['when', 'the', 'supreme', 'court', 'overturned', 'they', 'said', 'we', 'dont', 'have', 'a', 'right', 'to', 'privacy', 'i', 'talked', 'on', 'the', 'hysteria', 'podcast', 'about', 'what', 'that', 'means', 'for', 'our', 'right', 'to', 'contraception', 'infertility', 'treatments', 'lgbtq', 'rights', 'and', 'so', 'much', 'more']"
"the supreme court just overturned. they no longer represent logic, equal justice under law, or the will of the american people.","['the', 'supreme', 'court', 'just', 'overturned', 'they', 'no', 'longer', 'represent', 'logic', 'equal', 'justice', 'under', 'law', 'or', 'the', 'will', 'of', 'the', 'american', 'people']"
we have a deal to pass the most important anti-gun violence legislation in nearly 30 years. now we need your help to get it across the finish line.,"['we', 'have', 'a', 'deal', 'to', 'pass', 'the', 'most', 'important', 'antigun', 'violence', 'legislation', 'in', 'nearly', 'years', 'now', 'we', 'need', 'your', 'help', 'to', 'get', 'it', 'across', 'the', 'finish', 'line']"
this is big: today the senate passed thewhich guarantees that veterans exposed to toxic burn pits will finally get the health care they deserve. they answered the call to serve — now we're fulfilling our obligation to get them the care they are owed.,"['this', 'is', 'big', 'today', 'the', 'senate', 'passed', 'thewhich', 'guarantees', 'that', 'veterans', 'exposed', 'to', 'toxic', 'burn', 'pits', 'will', 'finally', 'get', 'the', 'health', 'care', 'they', 'deserve', 'they', 'answered', 'the', 'call', 'to', 'serve', 'now', 'were', 'fulfilling', 'our', 'obligation', 'to', 'get', 'them', 'the', 'care', 'they', 'are', 'owed']"
our failure to guarantee universalis hurting families and holding our entire country back. i talked with dr. mona amin about how not havingimpacts the families that she sees. watch the full interview at the link in my bio.,"['our', 'failure', 'to', 'guarantee', 'universalis', 'hurting', 'families', 'and', 'holding', 'our', 'entire', 'country', 'back', 'i', 'talked', 'with', 'dr', 'mona', 'amin', 'about', 'how', 'not', 'havingimpacts', 'the', 'families', 'that', 'she', 'sees', 'watch', 'the', 'full', 'interview', 'at', 'the', 'link', 'in', 'my', 'bio']"
"buffalo and uvalde and far too many communities across the country have suffered far too much. this is a moment of rage, fury, and tears. but you must take all of your fury and channel it into this fight. we must fight like our lives depend on it — because they do.","['buffalo', 'and', 'uvalde', 'and', 'far', 'too', 'many', 'communities', 'across', 'the', 'country', 'have', 'suffered', 'far', 'too', 'much', 'this', 'is', 'a', 'moment', 'of', 'rage', 'fury', 'and', 'tears', 'but', 'you', 'must', 'take', 'all', 'of', 'your', 'fury', 'and', 'channel', 'it', 'into', 'this', 'fight', 'we', 'must', 'fight', 'like', 'our', 'lives', 'depend', 'on', 'it', 'because', 'they', 'do']"
"civilians shouldn’t have access to weapons of war. period. we need background checks, a ban on military-style assault rifles, and for republicans in congress to stop standing in the way of common sense gun reform.","['civilians', 'shouldnt', 'have', 'access', 'to', 'weapons', 'of', 'war', 'period', 'we', 'need', 'background', 'checks', 'a', 'ban', 'on', 'militarystyle', 'assault', 'rifles', 'and', 'for', 'republicans', 'in', 'congress', 'to', 'stop', 'standing', 'in', 'the', 'way', 'of', 'common', 'sense', 'gun', 'reform']"
"a retired police officer shot the gunman. buffalo police arrived in just one minute. but because of the type of weapon he had, one gunman was able to kill many people quickly. we need to ban military-style assault rifles.","['a', 'retired', 'police', 'officer', 'shot', 'the', 'gunman', 'buffalo', 'police', 'arrived', 'in', 'just', 'one', 'minute', 'but', 'because', 'of', 'the', 'type', 'of', 'weapon', 'he', 'had', 'one', 'gunman', 'was', 'able', 'to', 'kill', 'many', 'people', 'quickly', 'we', 'need', 'to', 'ban', 'militarystyle', 'assault', 'rifles']"
reproductive rights are human rights. they are civil rights. and they are non-negotiable.,"['reproductive', 'rights', 'are', 'human', 'rights', 'they', 'are', 'civil', 'rights', 'and', 'they', 'are', 'nonnegotiable']"
a security guard who was a former police officer tried to stop the gunman. the buffalo police arrived on the scene in one minute. but one gunman was still able to murder ten people in that short amount of time.it's long past time to ban military-style assault rifles.,"['a', 'security', 'guard', 'who', 'was', 'a', 'former', 'police', 'officer', 'tried', 'to', 'stop', 'the', 'gunman', 'the', 'buffalo', 'police', 'arrived', 'on', 'the', 'scene', 'in', 'one', 'minute', 'but', 'one', 'gunman', 'was', 'still', 'able', 'to', 'murder', 'ten', 'people', 'in', 'that', 'short', 'amount', 'of', 'timeits', 'long', 'past', 'time', 'to', 'ban', 'militarystyle', 'assault', 'rifles']"
"happy birthday, — i couldn't ask for a better friend or backup vocalist for carpool karaoke than you!","['happy', 'birthday', 'i', 'couldnt', 'ask', 'for', 'a', 'better', 'friend', 'or', 'backup', 'vocalist', 'for', 'carpool', 'karaoke', 'than', 'you']"
"organizers in buffalo, ny ignited a movement. now, thanks to their courage, hundreds of starbucks stores across the country are following in their path and filing for union elections. when workers fight, all workers win.","['organizers', 'in', 'buffalo', 'ny', 'ignited', 'a', 'movement', 'now', 'thanks', 'to', 'their', 'courage', 'hundreds', 'of', 'starbucks', 'stores', 'across', 'the', 'country', 'are', 'following', 'in', 'their', 'path', 'and', 'filing', 'for', 'union', 'elections', 'when', 'workers', 'fight', 'all', 'workers', 'win']"
i met with ukrainian war veteran maria berlinksa last week to talk about what we can do to support the people of ukraine and help them win this war. she had a message for the american people.,"['i', 'met', 'with', 'ukrainian', 'war', 'veteran', 'maria', 'berlinksa', 'last', 'week', 'to', 'talk', 'about', 'what', 'we', 'can', 'do', 'to', 'support', 'the', 'people', 'of', 'ukraine', 'and', 'help', 'them', 'win', 'this', 'war', 'she', 'had', 'a', 'message', 'for', 'the', 'american', 'people']"
huge congrats toand all of the workers at amazon's staten island fulfillment center for becoming the first amazon facility in the country to vote to unionize! when,"['huge', 'congrats', 'toand', 'all', 'of', 'the', 'workers', 'at', 'amazons', 'staten', 'island', 'fulfillment', 'center', 'for', 'becoming', 'the', 'first', 'amazon', 'facility', 'in', 'the', 'country', 'to', 'vote', 'to', 'unionize', 'when']"
"jon stewart, john feal and i are fighting to get veterans exposed to toxic burn pits the health care they need — but we need your help to pass the.","['jon', 'stewart', 'john', 'feal', 'and', 'i', 'are', 'fighting', 'to', 'get', 'veterans', 'exposed', 'to', 'toxic', 'burn', 'pits', 'the', 'health', 'care', 'they', 'need', 'but', 'we', 'need', 'your', 'help', 'to', 'pass', 'the']"
vladimir putin underestimated ukraine. but they have the will to fight this war — and win it.,"['vladimir', 'putin', 'underestimated', 'ukraine', 'but', 'they', 'have', 'the', 'will', 'to', 'fight', 'this', 'war', 'and', 'win', 'it']"
i was just at the border betweenand poland. refugees need our help now. support the charities on the ground if you can. i'm fighting for more humanitarian/military aid right now.,"['i', 'was', 'just', 'at', 'the', 'border', 'betweenand', 'poland', 'refugees', 'need', 'our', 'help', 'now', 'support', 'the', 'charities', 'on', 'the', 'ground', 'if', 'you', 'can', 'im', 'fighting', 'for', 'more', 'humanitarianmilitary', 'aid', 'right', 'now']"
we are the only developed nation in the world that doesn't guarantee any amount of paid leave. and families like's are suffering for it. we need universal,"['we', 'are', 'the', 'only', 'developed', 'nation', 'in', 'the', 'world', 'that', 'doesnt', 'guarantee', 'any', 'amount', 'of', 'paid', 'leave', 'and', 'families', 'likes', 'are', 'suffering', 'for', 'it', 'we', 'need', 'universal']"
"members of congress should be looking out for your best interests, not their own. katie porter and i reintroduced stock act 2.0 this week to hold public officials accountable.","['members', 'of', 'congress', 'should', 'be', 'looking', 'out', 'for', 'your', 'best', 'interests', 'not', 'their', 'own', 'katie', 'porter', 'and', 'i', 'reintroduced', 'stock', 'act', 'this', 'week', 'to', 'hold', 'public', 'officials', 'accountable']"
many survivors of sexual assault and harassment at work couldn't sue their employers because of hidden forced arbitration agreements. congress passed my bill to ban them once and for all.,"['many', 'survivors', 'of', 'sexual', 'assault', 'and', 'harassment', 'at', 'work', 'couldnt', 'sue', 'their', 'employers', 'because', 'of', 'hidden', 'forced', 'arbitration', 'agreements', 'congress', 'passed', 'my', 'bill', 'to', 'ban', 'them', 'once', 'and', 'for', 'all']"
our paid leave policies are stuck in the 90s. it's time to pass universal guaranteed.,"['our', 'paid', 'leave', 'policies', 'are', 'stuck', 'in', 'the', 's', 'its', 'time', 'to', 'pass', 'universal', 'guaranteed']"
"today marks the 49th anniversary of. if trump-appointed right-wing justices get their way, it may be its last.","['today', 'marks', 'the', 'th', 'anniversary', 'of', 'if', 'trumpappointed', 'rightwing', 'justices', 'get', 'their', 'way', 'it', 'may', 'be', 'its', 'last']"
dr. martin luther king jr. and thousands of americans like him risked their lives to fight for the right to vote. i won't let thestop me from defending that sacred right.,"['dr', 'martin', 'luther', 'king', 'jr', 'and', 'thousands', 'of', 'americans', 'like', 'him', 'risked', 'their', 'lives', 'to', 'fight', 'for', 'the', 'right', 'to', 'vote', 'i', 'wont', 'let', 'thestop', 'me', 'from', 'defending', 'that', 'sacred', 'right']"
theisn't a constitutional right or a pillar of our democracy — but the right to vote is.,"['theisnt', 'a', 'constitutional', 'right', 'or', 'a', 'pillar', 'of', 'our', 'democracy', 'but', 'the', 'right', 'to', 'vote', 'is']"
"at some point in your life, you'll probably need paid leave, too. families can't keep waiting on congress. we need to passin theact.","['at', 'some', 'point', 'in', 'your', 'life', 'youll', 'probably', 'need', 'paid', 'leave', 'too', 'families', 'cant', 'keep', 'waiting', 'on', 'congress', 'we', 'need', 'to', 'passin', 'theact']"
"starbucks workers in buffalo, ny are in the middle of a historic union vote. here's how it's going.","['starbucks', 'workers', 'in', 'buffalo', 'ny', 'are', 'in', 'the', 'middle', 'of', 'a', 'historic', 'union', 'vote', 'heres', 'how', 'its', 'going']"
started our thanksgiving cooking early today with our family's berry cobbler! what are you making this?,"['started', 'our', 'thanksgiving', 'cooking', 'early', 'today', 'with', 'our', 'familys', 'berry', 'cobbler', 'what', 'are', 'you', 'making', 'this']"
democracy should not be shunned. service members deserve justice.,"['democracy', 'should', 'not', 'be', 'shunned', 'service', 'members', 'deserve', 'justice']"
you shouldn't be forced to quit your job and lose your paycheck because you had a family emergency!,"['you', 'shouldnt', 'be', 'forced', 'to', 'quit', 'your', 'job', 'and', 'lose', 'your', 'paycheck', 'because', 'you', 'had', 'a', 'family', 'emergency']"
"favorite @taylorswift song, @jon? ","['favorite', 'taylorswift', 'song', 'jon']"
"maple is definitely having athis halloween. the squirrel? not so much. happy halloween,!","['maple', 'is', 'definitely', 'having', 'athis', 'halloween', 'the', 'squirrel', 'not', 'so', 'much', 'happy', 'halloween']"
thank you to everyone who came to the @cwsoftballgame and helped us raise over $500k for young women fighting!,"['thank', 'you', 'to', 'everyone', 'who', 'came', 'to', 'the', 'cwsoftballgame', 'and', 'helped', 'us', 'raise', 'over', 'k', 'for', 'young', 'women', 'fighting']"
we're one of just six countries that doesn't have. time to fix that. this is our moment.,"['were', 'one', 'of', 'just', 'six', 'countries', 'that', 'doesnt', 'have', 'time', 'to', 'fix', 'that', 'this', 'is', 'our', 'moment']"
sounds pretty good to me.,"['sounds', 'pretty', 'good', 'to', 'me']"
pass the.,"['pass', 'the']"
you're watching videos on tiktok right now. do you know how your data is being used?,"['youre', 'watching', 'videos', 'on', 'tiktok', 'right', 'now', 'do', 'you', 'know', 'how', 'your', 'data', 'is', 'being', 'used']"
maple says hello 🍁,"['maple', 'says', 'hello']"
"a coffee for me, afor maple, and a union for.","['a', 'coffee', 'for', 'me', 'afor', 'maple', 'and', 'a', 'union', 'for']"
"members vs. press, in support of the young survivors coalition. get your tickets at congwomensoftball.org! 🥎","['members', 'vs', 'press', 'in', 'support', 'of', 'the', 'young', 'survivors', 'coalition', 'get', 'your', 'tickets', 'at', 'congwomensoftballorg']"
members of our military deserve justice.,"['members', 'of', 'our', 'military', 'deserve', 'justice']"
access to abortion is a human right. we have to fight for it.,"['access', 'to', 'abortion', 'is', 'a', 'human', 'right', 'we', 'have', 'to', 'fight', 'for', 'it']"
kids can't learn if they're hungry. cancel school lunch debt and provide universal free school meals.,"['kids', 'cant', 'learn', 'if', 'theyre', 'hungry', 'cancel', 'school', 'lunch', 'debt', 'and', 'provide', 'universal', 'free', 'school', 'meals']"
thinking about...,"['thinking', 'about']"
answer to- what do you want to see me cook next?,"['answer', 'to', 'what', 'do', 'you', 'want', 'to', 'see', 'me', 'cook', 'next']"
🧈,[]
"it's time to pass universal, guaranteed.","['its', 'time', 'to', 'pass', 'universal', 'guaranteed']"
maple had a little too much fun on the lake...,"['maple', 'had', 'a', 'little', 'too', 'much', 'fun', 'on', 'the', 'lake']"
lake placid 🌅,"['lake', 'placid']"
maple is more interested in chasing squirrels than chasing tiktok fame. 🐿️,"['maple', 'is', 'more', 'interested', 'in', 'chasing', 'squirrels', 'than', 'chasing', 'tiktok', 'fame']"
we're going to make life a whole lot easier for working families!,"['were', 'going', 'to', 'make', 'life', 'a', 'whole', 'lot', 'easier', 'for', 'working', 'families']"
"hello, tiktok! got any questions for me? my q&a is open.","['hello', 'tiktok', 'got', 'any', 'questions', 'for', 'me', 'my', 'qa', 'is', 'open']"
,[]
this sham impeachment hearing is unserious and a waste of our time and my constituents' taxpayer dollars.,"['this', 'sham', 'impeachment', 'hearing', 'is', 'unserious', 'and', 'a', 'waste', 'of', 'our', 'time', 'and', 'my', 'constituents', 'taxpayer', 'dollars']"
"i visited the allegheny ymca yesterday to talk about the $1,000,000 in community project funding we're bringing home to finally make sure that the facility has air conditioning, ada accessibility, and ample space for programming.","['i', 'visited', 'the', 'allegheny', 'ymca', 'yesterday', 'to', 'talk', 'about', 'the', 'in', 'community', 'project', 'funding', 'were', 'bringing', 'home', 'to', 'finally', 'make', 'sure', 'that', 'the', 'facility', 'has', 'air', 'conditioning', 'ada', 'accessibility', 'and', 'ample', 'space', 'for', 'programming']"
"we all recognize the danger that a trump presidency and fascism poses to each of our communities. that's why we're fighting harder than anyone.let's lift the people up who are saying we want to build for the many, not for the money.","['we', 'all', 'recognize', 'the', 'danger', 'that', 'a', 'trump', 'presidency', 'and', 'fascism', 'poses', 'to', 'each', 'of', 'our', 'communities', 'thats', 'why', 'were', 'fighting', 'harder', 'than', 'anyonelets', 'lift', 'the', 'people', 'up', 'who', 'are', 'saying', 'we', 'want', 'to', 'build', 'for', 'the', 'many', 'not', 'for', 'the', 'money']"
"a lot of people don’t know that the first ems service in the country was started by black pittsburghers, when local police and fire refused to serve them.","['a', 'lot', 'of', 'people', 'dont', 'know', 'that', 'the', 'first', 'ems', 'service', 'in', 'the', 'country', 'was', 'started', 'by', 'black', 'pittsburghers', 'when', 'local', 'police', 'and', 'fire', 'refused', 'to', 'serve', 'them']"
"i serve on the @sciencedems committee because folks in my community look to science to come up with solutions to ensure we have clean air, clean water, and innovative technologies to make our lives better.","['i', 'serve', 'on', 'the', 'sciencedems', 'committee', 'because', 'folks', 'in', 'my', 'community', 'look', 'to', 'science', 'to', 'come', 'up', 'with', 'solutions', 'to', 'ensure', 'we', 'have', 'clean', 'air', 'clean', 'water', 'and', 'innovative', 'technologies', 'to', 'make', 'our', 'lives', 'better']"
action housing pa showed the power of whole home repair to ensure families can afford to fix their homes & combat blight + the housing crisis.but funding ran out before 96% of folks in my district got help.,"['action', 'housing', 'pa', 'showed', 'the', 'power', 'of', 'whole', 'home', 'repair', 'to', 'ensure', 'families', 'can', 'afford', 'to', 'fix', 'their', 'homes', 'combat', 'blight', 'the', 'housing', 'crisisbut', 'funding', 'ran', 'out', 'before', 'of', 'folks', 'in', 'my', 'district', 'got', 'help']"
"if republicans don’t like what you’re reading, they’ll do everything in their power to keep you from reading it — even if it’s literally just talking about the history of this country.","['if', 'republicans', 'dont', 'like', 'what', 'youre', 'reading', 'theyll', 'do', 'everything', 'in', 'their', 'power', 'to', 'keep', 'you', 'from', 'reading', 'it', 'even', 'if', 'its', 'literally', 'just', 'talking', 'about', 'the', 'history', 'of', 'this', 'country']"
"republicans say they're banning books, harassing teachers, and propagandizing curriculum for 'parents' rights.'to that i say: which parents? @npr found 76% of parents were happy with what their kids were being taught.","['republicans', 'say', 'theyre', 'banning', 'books', 'harassing', 'teachers', 'and', 'propagandizing', 'curriculum', 'for', 'parents', 'rightsto', 'that', 'i', 'say', 'which', 'parents', 'npr', 'found', 'of', 'parents', 'were', 'happy', 'with', 'what', 'their', 'kids', 'were', 'being', 'taught']"
"the contributions of henrietta lacks, katherine johnson, and countless more black folks demonstrate that meaningful representation must be prioritized in the scientific field's unbiased pursuit of the truth.","['the', 'contributions', 'of', 'henrietta', 'lacks', 'katherine', 'johnson', 'and', 'countless', 'more', 'black', 'folks', 'demonstrate', 'that', 'meaningful', 'representation', 'must', 'be', 'prioritized', 'in', 'the', 'scientific', 'fields', 'unbiased', 'pursuit', 'of', 'the', 'truth']"
"“i witnessed the havoc us bullets and bombs waged on the people [of iraq] (...) these are the actions being perpetrated now against the people of gaza--against innocent civilians and children""","['i', 'witnessed', 'the', 'havoc', 'us', 'bullets', 'and', 'bombs', 'waged', 'on', 'the', 'people', 'of', 'iraq', 'these', 'are', 'the', 'actions', 'being', 'perpetrated', 'now', 'against', 'the', 'people', 'of', 'gazaagainst', 'innocent', 'civilians', 'and', 'children']"
i made marjorie mad when pointing out how many workers in her district will go without their paychecks during the shutdown.watch:,"['i', 'made', 'marjorie', 'mad', 'when', 'pointing', 'out', 'how', 'many', 'workers', 'in', 'her', 'district', 'will', 'go', 'without', 'their', 'paychecks', 'during', 'the', 'shutdownwatch']"
"in mtg's district, republican’s shutdown will cost 6,306 folks their paychecks.in lauren boebert’s district, r’s shutdown will cost 9,013 folks their paychecks.","['in', 'mtgs', 'district', 'republicans', 'shutdown', 'will', 'cost', 'folks', 'their', 'paychecksin', 'lauren', 'boeberts', 'district', 'rs', 'shutdown', 'will', 'cost', 'folks', 'their', 'paychecks']"
speaker mccarthy has proven he’s in over his head—he’d rather shutdown the government to keep his job than do the bare minimum to keep it running.,"['speaker', 'mccarthy', 'has', 'proven', 'hes', 'in', 'over', 'his', 'headhed', 'rather', 'shutdown', 'the', 'government', 'to', 'keep', 'his', 'job', 'than', 'do', 'the', 'bare', 'minimum', 'to', 'keep', 'it', 'running']"
earth wind and repubicans are setting the govt on fire. 🤡🔥,"['earth', 'wind', 'and', 'repubicans', 'are', 'setting', 'the', 'govt', 'on', 'fire']"
earth wind & repubicans are setting the govt on fire. 🤡🔥,"['earth', 'wind', 'repubicans', 'are', 'setting', 'the', 'govt', 'on', 'fire']"
mccarthy and his goons are forcing a government shutdown because they know that we the people won’t stand for their cruel plot to please their culture-warriors and bankroll their billionaire friends.,"['mccarthy', 'and', 'his', 'goons', 'are', 'forcing', 'a', 'government', 'shutdown', 'because', 'they', 'know', 'that', 'we', 'the', 'people', 'wont', 'stand', 'for', 'their', 'cruel', 'plot', 'to', 'please', 'their', 'culturewarriors', 'and', 'bankroll', 'their', 'billionaire', 'friends']"
i already told y’all how right-wing sugar-daddies bought scotus justices thomas and alito to end affirmative action + student debt relief.we now know kavanaugh is selling out our right to vote to pay-back the kingpin of those sugardaddies for his court seat. 🤢,"['i', 'already', 'told', 'yall', 'how', 'rightwing', 'sugardaddies', 'bought', 'scotus', 'justices', 'thomas', 'and', 'alito', 'to', 'end', 'affirmative', 'action', 'student', 'debt', 'reliefwe', 'now', 'know', 'kavanaugh', 'is', 'selling', 'out', 'our', 'right', 'to', 'vote', 'to', 'payback', 'the', 'kingpin', 'of', 'those', 'sugardaddies', 'for', 'his', 'court', 'seat']"
"pay your workers what you owe them, don't act like you forgot.","['pay', 'your', 'workers', 'what', 'you', 'owe', 'them', 'dont', 'act', 'like', 'you', 'forgot']"
had the audacity to hold a hearing defending ceos who caused black women ovarian cancer.instead of playing into that 💩 i went off in defense of our democracy against dark $ networks selling out our freedoms to billionaires in exchange for capture of our courts!,"['had', 'the', 'audacity', 'to', 'hold', 'a', 'hearing', 'defending', 'ceos', 'who', 'caused', 'black', 'women', 'ovarian', 'cancerinstead', 'of', 'playing', 'into', 'that', 'i', 'went', 'off', 'in', 'defense', 'of', 'our', 'democracy', 'against', 'dark', 'networks', 'selling', 'out', 'our', 'freedoms', 'to', 'billionaires', 'in', 'exchange', 'for', 'capture', 'of', 'our', 'courts']"
caught up withfromto talk about why president biden should declare a.,"['caught', 'up', 'withfromto', 'talk', 'about', 'why', 'president', 'biden', 'should', 'declare', 'a']"
"not to sound like a radio hit on repeat, but some of the worst air quality in the country is found in my district. it means a lot to me that i sit in this seat to affect change to my community & legislation like this is one step in the right direction towards cleaner air in pa.","['not', 'to', 'sound', 'like', 'a', 'radio', 'hit', 'on', 'repeat', 'but', 'some', 'of', 'the', 'worst', 'air', 'quality', 'in', 'the', 'country', 'is', 'found', 'in', 'my', 'district', 'it', 'means', 'a', 'lot', 'to', 'me', 'that', 'i', 'sit', 'in', 'this', 'seat', 'to', 'affect', 'change', 'to', 'my', 'community', 'legislation', 'like', 'this', 'is', 'one', 'step', 'in', 'the', 'right', 'direction', 'towards', 'cleaner', 'air', 'in', 'pa']"
addiction is a health crisis & a brain disease that we must treat with the same urgency as any other ailment.94% of individuals with substance abuse disorder didn't receive treatment in 2021.,"['addiction', 'is', 'a', 'health', 'crisis', 'a', 'brain', 'disease', 'that', 'we', 'must', 'treat', 'with', 'the', 'same', 'urgency', 'as', 'any', 'other', 'ailment', 'of', 'individuals', 'with', 'substance', 'abuse', 'disorder', 'didnt', 'receive', 'treatment', 'in']"
"tatum brown, our art competition winner recently stopped by to pay us a visit and take a look at her art work that is posted for all u.s. capitol visitors to see. tatum did a beautiful piece that recognizes coal miners in our district. she will be headed to the savannah school of art & design in the fall to peruse her art degree! way to go, tatum!","['tatum', 'brown', 'our', 'art', 'competition', 'winner', 'recently', 'stopped', 'by', 'to', 'pay', 'us', 'a', 'visit', 'and', 'take', 'a', 'look', 'at', 'her', 'art', 'work', 'that', 'is', 'posted', 'for', 'all', 'us', 'capitol', 'visitors', 'to', 'see', 'tatum', 'did', 'a', 'beautiful', 'piece', 'that', 'recognizes', 'coal', 'miners', 'in', 'our', 'district', 'she', 'will', 'be', 'headed', 'to', 'the', 'savannah', 'school', 'of', 'art', 'design', 'in', 'the', 'fall', 'to', 'peruse', 'her', 'art', 'degree', 'way', 'to', 'go', 'tatum']"
"republican efforts to use the term ""two-tiered justice"" only aims to divert attention from the true victims of disparate treatment within our criminal justice system.","['republican', 'efforts', 'to', 'use', 'the', 'term', 'twotiered', 'justice', 'only', 'aims', 'to', 'divert', 'attention', 'from', 'the', 'true', 'victims', 'of', 'disparate', 'treatment', 'within', 'our', 'criminal', 'justice', 'system']"
"enough of rs weaponizing the term ""two-tiered justice"" to help trump & his cronies play victim by erasing those who are truly victims of disparate treatment.","['enough', 'of', 'rs', 'weaponizing', 'the', 'term', 'twotiered', 'justice', 'to', 'help', 'trump', 'his', 'cronies', 'play', 'victim', 'by', 'erasing', 'those', 'who', 'are', 'truly', 'victims', 'of', 'disparate', 'treatment']"
"there is nothing ""radical"" about organizing for our own survival.","['there', 'is', 'nothing', 'radical', 'about', 'organizing', 'for', 'our', 'own', 'survival']"
we know that republicans have never cared about the lives of babies or children or they wouldn't be cutting access to health care & childcare and they wouldn't be ignoring the black maternal mortality crisis.,"['we', 'know', 'that', 'republicans', 'have', 'never', 'cared', 'about', 'the', 'lives', 'of', 'babies', 'or', 'children', 'or', 'they', 'wouldnt', 'be', 'cutting', 'access', 'to', 'health', 'care', 'childcare', 'and', 'they', 'wouldnt', 'be', 'ignoring', 'the', 'black', 'maternal', 'mortality', 'crisis']"
"pittsburgh is a union town & we will stand for workers not only in our city, but all over this country.whether i'm in pittsburgh or dc, every single time our workers call, you know i have your back!","['pittsburgh', 'is', 'a', 'union', 'town', 'we', 'will', 'stand', 'for', 'workers', 'not', 'only', 'in', 'our', 'city', 'but', 'all', 'over', 'this', 'countrywhether', 'im', 'in', 'pittsburgh', 'or', 'dc', 'every', 'single', 'time', 'our', 'workers', 'call', 'you', 'know', 'i', 'have', 'your', 'back']"
"….$41.6 million on viagra? $2.3 million on king crab?while we could be spending money ensuring that children have school lunch, eradicating student loans, addressing the issue of homelessness in the country, or repairing roads and bridges–the dod is spending trillions of dollars on viagra, alaskan king crabs, shipbuilding, and replacing parts worth millions that end up “missing”.","['million', 'on', 'viagra', 'million', 'on', 'king', 'crabwhile', 'we', 'could', 'be', 'spending', 'money', 'ensuring', 'that', 'children', 'have', 'school', 'lunch', 'eradicating', 'student', 'loans', 'addressing', 'the', 'issue', 'of', 'homelessness', 'in', 'the', 'country', 'or', 'repairing', 'roads', 'and', 'bridgesthe', 'dod', 'is', 'spending', 'trillions', 'of', 'dollars', 'on', 'viagra', 'alaskan', 'king', 'crabs', 'shipbuilding', 'and', 'replacing', 'parts', 'worth', 'millions', 'that', 'end', 'up', 'missing']"
"yesterday, i joined my brotherto meet with the young people leading our movement for justice to talk about the importance of youth-led policy. as my sister","['yesterday', 'i', 'joined', 'my', 'brotherto', 'meet', 'with', 'the', 'young', 'people', 'leading', 'our', 'movement', 'for', 'justice', 'to', 'talk', 'about', 'the', 'importance', 'of', 'youthled', 'policy', 'as', 'my', 'sister']"
